"","Team","MP","GF","GA","PEN","OG","OGF","OPG","SPG","GSI","GSO","GCI","GCO","TS","SOG","SW","SB","FKR","FKD","FKI","SOB","SOP","SGP","SGO","SWP","SWO","BSI","BSO","SG/S","AT","AFL","AFC","AFR","TS","TSL","OFF","ASS","SR","DPA","CLR","CC","CCR","TCK","TGP","SAV","Y","YCR","R","FC","FS","HB","PC","PCR","CRO","CRC","CCR2","CK","CC2","COCR","THR","Year","Loc","W","D","L"
"21","New Zealand",3,2,2,0,0,0,1,1,2,0,2,0,15,3,10,2,0,0,0,0,0,3,0,5,5,0,2,NA,11,8,1,2,3,0,3,1,13,8,26,2,NA,10,4,12,6,0,0,61,35,4,663,NA,28,2,NA,3,2,NA,60,"2010","South Africa",0,3,0
"22","Nigeria",3,3,5,1,0,0,1,2,2,1,3,2,32,9,20,3,5,5,0,0,1,5,4,8,12,0,3,NA,25,6,7,12,23,11,1,1,40,11,45,9,NA,21,8,21,5,0,1,45,32,2,799,NA,41,6,NA,8,5,NA,70,"2010","South Africa",0,1,2
"23","Paraguay",5,3,2,0,0,0,1,2,2,1,2,0,63,26,28,9,3,3,0,0,0,16,10,13,15,5,4,NA,39,17,7,15,27,14,7,3,40,24,47,11,NA,25,11,12,9,0,0,97,79,9,1555,NA,56,19,NA,14,6,NA,131,"2010","South Africa",1,3,1
"24","Portugal",4,7,1,0,0,0,7,0,7,0,1,0,55,21,27,7,6,6,0,1,2,10,11,11,16,1,6,NA,45,19,15,11,33,15,8,7,75,20,43,14,NA,34,15,19,8,0,1,60,48,1,1460,NA,68,15,NA,16,6,NA,74,"2010","South Africa",1,2,1
"25","Serbia",3,2,3,0,0,0,2,0,2,0,2,1,45,11,26,8,2,2,0,1,1,5,6,13,13,2,6,NA,39,7,18,14,13,7,13,1,39,14,23,4,NA,13,6,8,8,1,0,30,61,4,1074,NA,41,14,NA,11,4,NA,46,"2010","South Africa",1,0,2
"26","Slovakia",4,5,7,1,0,0,3,2,4,1,4,3,41,11,19,11,1,1,0,0,0,7,4,4,15,4,7,NA,30,13,7,10,28,16,8,4,37,17,39,9,NA,23,9,15,11,0,0,68,65,2,1236,NA,54,9,NA,21,10,NA,118,"2010","South Africa",1,1,2
"27","Slovenia",3,3,3,0,0,0,3,0,1,2,3,0,27,14,7,6,5,5,0,0,0,3,11,2,5,3,3,NA,18,5,6,7,26,13,7,3,32,9,46,8,NA,20,8,12,9,0,0,44,50,3,915,NA,49,7,NA,7,4,NA,69,"2010","South Africa",1,1,1
"28","South Africa",3,3,5,0,0,0,2,1,3,0,4,1,40,18,17,5,4,4,0,0,2,9,9,8,9,0,5,NA,34,9,11,14,22,10,9,3,25,8,33,7,NA,25,14,10,4,0,1,43,31,1,1058,NA,48,11,NA,12,5,NA,72,"2010","South Africa",1,1,1
"29","Spain",7,8,2,0,0,0,7,1,6,2,0,2,121,46,58,17,9,8,1,2,1,28,18,18,40,5,12,NA,107,31,38,38,52,29,12,5,178,61,45,10,NA,32,17,17,8,0,0,81,134,3,3803,NA,162,47,NA,56,32,NA,152,"2010","South Africa",6,0,1
"30","Switzerland",3,1,1,0,0,0,1,0,0,1,1,0,32,9,17,6,6,5,1,0,1,3,6,5,12,3,3,NA,22,6,9,7,15,9,3,0,34,11,44,7,NA,22,12,15,8,0,1,59,38,3,832,NA,49,13,NA,11,4,NA,58,"2010","South Africa",1,1,1
"31","Uruguay",7,11,8,1,0,0,7,4,7,4,6,2,102,46,38,18,12,12,0,1,0,24,22,15,23,5,13,NA,69,28,13,28,38,16,20,8,76,36,81,22,NA,41,17,23,9,1,1,99,110,7,1890,NA,90,20,NA,36,8,NA,129,"2010","South Africa",3,2,2
"32","USA",4,5,5,1,0,0,5,0,4,1,3,2,69,26,32,11,6,6,0,0,1,16,10,16,16,3,8,NA,35,8,10,17,32,14,4,2,39,19,46,11,NA,30,13,16,9,0,0,54,62,9,1175,NA,63,18,NA,17,9,NA,96,"2010","South Africa",1,2,1
